month,order_count,customer_count,total_sales,avg_order_value
2024-01,5,5,604586.0,120917.2
2024-02,6,6,656767.0,109461.16666666667
2024-03,9,8,1009724.0,112191.55555555556
2024-04,7,7,900727.0,128675.28571428571
2024-05,9,7,1470517.0,163390.77777777778
2024-06,8,7,1048949.0,131118.625
2024-07,5,4,870084.0,174016.8
2024-08,10,10,1073268.0,107326.8
2024-09,9,9,693661.0,77073.44444444444
2024-10,10,10,1849539.0,184953.9
2024-11,12,8,953410.0,79450.83333333333
2024-12,7,7,1029130.0,147018.57142857142
2025-01,11,11,1437021.0,130638.27272727272
2025-02,10,10,1615222.0,161522.2
2025-03,5,5,652766.0,130553.2
2025-04,11,10,1048316.0,95301.45454545454
2025-05,6,6,740974.0,123495.66666666667
2025-06,6,5,989738.0,164956.33333333334
2025-07,8,8,1009172.0,126146.5
2025-08,10,9,1680531.0,168053.1
2025-09,8,7,999585.0,124948.125
2025-10,9,9,977745.0,108638.33333333333
2025-11,12,11,1788576.0,149048.0
2025-12,9,9,1007849.0,111983.22222222222
